,amount,LNDfee,LNDdly,LNDpthlnt,LNDtp,CLNfee,CLNdly,CLNpthlnt,CLNtp,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp
2058,1307,2.3947199999999995,120,4,Success,2.3947199999999995,120,4,Success,3.01569,114,4,Success,2.3947199999999995,120,4,Success,2.3947199999999995,120,4,Success,2.26402,154,5,Success
2059,502126,1.50213,80,3,Success,1.50213,80,3,Success,1.50213,80,3,Success,1.50213,80,3,Failure,1.50213,80,3,Failure,29.86693,98,4,Success
2060,429603,28.237470000000002,120,4,Failure,28.237470000000002,120,4,Failure,28.237470000000002,120,4,Failure,28.237470000000002,120,4,Failure,28.237470000000002,120,4,Failure,28.237470000000002,120,4,Failure
2061,15867,1.0476,296,5,Success,1.0476,296,5,Failure,1.0476,296,5,Failure,1.0476,296,5,Failure,1.0476,296,5,Failure,1.0634700000000001,294,6,Failure
2062,946707,65.83326,120,4,Failure,65.83326,120,4,Failure,2.89342,154,5,Failure,387.63243,142,5,Failure,387.63243,142,5,Failure,353.34231000000005,244,7,Failure
2063,13549,1.0271,264,5,Success,1.0271,264,5,Failure,1.0271,264,5,Success,1.0271,264,5,Failure,1.0271,264,5,Failure,1.0271,264,5,Failure
2064,8759,27.338510000000003,160,5,Success,27.338510000000003,160,5,Success,23.281579999999998,232,7,Success,22.87194,172,6,Success,22.87194,172,6,Success,22.87194,172,6,Failure
2065,434151,3.6049100000000003,80,3,Failure,3.6049100000000003,80,3,Failure,3.6049100000000003,80,3,Failure,91.51868,160,5,Success,91.51868,160,5,Success,8.87817,230,7,Success
2066,15506,48.549099999999996,120,4,Failure,48.549099999999996,120,4,Failure,48.549099999999996,120,4,Failure,49.0888,120,4,Failure,49.0888,120,4,Failure,47.61231,310,9,Failure
2067,11054,1.30441,264,5,Success,1.30441,264,5,Success,0.8300500000000001,402,6,Success,1.30441,264,5,Failure,1.30441,264,5,Failure,0.04421,294,6,Failure
2068,499072,245.39552999999998,80,3,Success,245.39552999999998,80,3,Success,4.99543,332,7,Failure,245.39552999999998,80,3,Success,245.39552999999998,80,3,Success,34.930369999999996,234,7,Success
2069,171122,293.07881,80,3,Success,293.07881,80,3,Failure,4.36899,160,5,Failure,36.566720000000004,120,4,Success,36.566720000000004,120,4,Failure,36.566720000000004,120,4,Failure
