,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
3181,11,0.0672,282,6,Success,0.044489999999999995,264,5,Success,0.044489999999999995,264,5,Success,0.044489999999999995,264,5,Success,0.03411,428,9,Success,0.044489999999999995,264,5,Success
3182,438,2.0223899999999997,120,4,Success,2.0223899999999997,120,4,Success,2.0223899999999997,120,4,Success,2.0223899999999997,120,4,Success,1.02366,422,12,Success,2.0223899999999997,120,4,Success
3183,704,4.46506,224,4,Success,3.13389,120,4,Success,3.13389,120,4,Success,3.13389,120,4,Success,3.11977,194,6,Success,3.13389,120,4,Success
3184,34,1.007,264,5,Success,1.00683,264,5,Success,1.00683,264,5,Success,1.00683,264,5,Success,1.00026,334,7,Success,1.00683,264,5,Success
3185,3590,1.54517,280,4,Success,1.54517,280,4,Success,1.54517,280,4,Success,1.54517,280,4,Success,1.54517,280,4,Success,1.54517,280,4,Success
3186,427,2.35709,274,5,Success,1.08711,160,5,Success,1.08711,160,5,Success,1.08711,160,5,Success,1.08711,160,5,Success,1.08711,160,5,Success
3187,67,2.0148099999999998,338,7,Success,2.00644,304,6,Success,4.05703,264,5,Success,2.00644,304,6,Success,2.00349,372,8,Success,4.05703,264,5,Success
3188,6,0.0104,138,5,Success,0.0089,144,5,Success,0.0089,144,5,Success,0.0089,144,5,Success,0.008879999999999999,218,7,Success,18.018,110,4,Success
3189,35597,3.9479200000000008,280,8,Failure,8.46563,240,7,Failure,215.72873,160,5,Failure,8.46563,240,7,Failure,2.6731400000000005,502,14,Failure,215.72873,160,5,Failure
3190,1558,1.2855699999999999,188,6,Success,1.05242,154,5,Success,1.05242,154,5,Success,1.05242,154,5,Success,1.00724,256,8,Success,1.05242,154,5,Success
